threshold,accuracy,escalation_rate
8.700000000000001,0.6375786163522013,0.9874213836477987
8.8,0.6375786163522013,0.9913522012578616
8.9,0.6375786163522013,0.9921383647798742
9.0,0.6375786163522013,0.9937106918238994
9.1,0.6375786163522013,0.9937106918238994
9.200000000000001,0.6375786163522013,0.9952830188679245
9.3,0.6375786163522013,0.9952830188679245
9.4,0.6375786163522013,0.9952830188679245
9.5,0.6375786163522013,0.9952830188679245
9.600000000000001,0.6375786163522013,0.9952830188679245
9.700000000000001,0.6375786163522013,0.9960691823899371
9.8,0.6375786163522013,0.9960691823899371
9.9,0.6375786163522013,0.9960691823899371
10.0,0.6375786163522013,0.9976415094339622
10.100000000000001,0.6375786163522013,0.9976415094339622
10.200000000000001,0.6375786163522013,0.9976415094339622
10.3,0.6375786163522013,0.9976415094339622
10.4,0.6375786163522013,0.9984276729559748
10.5,0.6375786163522013,0.9992138364779874
10.600000000000001,0.6375786163522013,0.9992138364779874
10.700000000000001,0.6375786163522013,0.9992138364779874
10.8,0.6375786163522013,0.9992138364779874
10.9,0.6375786163522013,0.9992138364779874
11.0,0.6375786163522013,1.0
11.100000000000001,0.6375786163522013,1.0
11.200000000000001,0.6375786163522013,1.0
11.3,0.6375786163522013,1.0
11.4,0.6375786163522013,1.0
11.5,0.6375786163522013,1.0
11.600000000000001,0.6375786163522013,1.0
11.700000000000001,0.6375786163522013,1.0
11.8,0.6375786163522013,1.0
11.9,0.6375786163522013,1.0
12.0,0.6375786163522013,1.0
12.100000000000001,0.6375786163522013,1.0
12.200000000000001,0.6375786163522013,1.0
12.3,0.6375786163522013,1.0
12.4,0.6375786163522013,1.0
12.5,0.6375786163522013,1.0
12.600000000000001,0.6375786163522013,1.0
12.700000000000001,0.6375786163522013,1.0
12.8,0.6375786163522013,1.0
12.9,0.6375786163522013,1.0
13.0,0.6375786163522013,1.0
13.100000000000001,0.6375786163522013,1.0
13.200000000000001,0.6375786163522013,1.0
13.3,0.6375786163522013,1.0
13.4,0.6375786163522013,1.0
13.5,0.6375786163522013,1.0
13.600000000000001,0.6375786163522013,1.0
13.700000000000001,0.6375786163522013,1.0
13.8,0.6375786163522013,1.0
13.9,0.6375786163522013,1.0
14.0,0.6375786163522013,1.0
14.100000000000001,0.6375786163522013,1.0
14.200000000000001,0.6375786163522013,1.0
14.3,0.6375786163522013,1.0
14.4,0.6375786163522013,1.0
14.5,0.6375786163522013,1.0
14.600000000000001,0.6375786163522013,1.0
14.700000000000001,0.6375786163522013,1.0
14.8,0.6375786163522013,1.0
14.9,0.6375786163522013,1.0
15.0,0.6375786163522013,1.0
15.100000000000001,0.6375786163522013,1.0
15.200000000000001,0.6375786163522013,1.0
15.3,0.6375786163522013,1.0
15.4,0.6375786163522013,1.0
15.5,0.6375786163522013,1.0
15.600000000000001,0.6375786163522013,1.0
15.700000000000001,0.6375786163522013,1.0
15.8,0.6375786163522013,1.0
15.9,0.6375786163522013,1.0
16.0,0.6375786163522013,1.0
16.1,0.6375786163522013,1.0
16.2,0.6375786163522013,1.0
16.3,0.6375786163522013,1.0
16.400000000000002,0.6375786163522013,1.0
16.5,0.6375786163522013,1.0
16.6,0.6375786163522013,1.0
16.7,0.6375786163522013,1.0
16.8,0.6375786163522013,1.0
16.900000000000002,0.6375786163522013,1.0
17.0,0.6375786163522013,1.0
17.1,0.6375786163522013,1.0
17.2,0.6375786163522013,1.0
17.3,0.6375786163522013,1.0
17.400000000000002,0.6375786163522013,1.0
17.5,0.6375786163522013,1.0
17.6,0.6375786163522013,1.0
17.7,0.6375786163522013,1.0
17.8,0.6375786163522013,1.0
